Input,Mapped_To,Comment
10 Hairy Legs,10 Hairy Legs,
ABT,ABT,
ABT ,ABT,
ailey,Alvin Ailey,
Ailey,Alvin Ailey,
Ailey 2,Ailey II,
AIM,AiM,
Aknam Khan,Aknam Khan,
Alein Nikolais,Alwin Nikolais,
alvin ailey,Alvin Ailey,
Alvin ailey,Alvin Ailey,
Alvin Ailey,Alvin Ailey,
AlvinAiley,Alvin Ailey,
Alwin Nikolai,Alwin Nikolais,
Anne Teresa,Anne Teresa,
Ariel Rifkin,Ariel Rivka,
Aspen Santa Fe,Aspen Santa Fe,
Balet de monte carlo,Ballet de Monte Carlo,
Ballet BC,Ballet BC,
Ballet de Montreal,Grands Ballets Canadiens,?
ballet hispanico,Ballet Hispanico,
Ballet hispanico,Ballet Hispanico,
Ballet Hispanico,Ballet Hispanico,
ballet jazz de montreal,Ballet Jazz de Montreal,
Ballet Pejlocaq,Ballet Pejlocaq,
Ballet prejolcaq,Ballet Pejlocaq,
Ballet Preljocat,Ballet Pejlocaq,
Ballet Tech,Eliot Feld,
Ballet Techkida,Ballet Tech Kids,?
Ballet Verite,Ballet Verite,
Ballet West,Ballet West,
Ballet X,BalletX,
BAM Africa,BAM Africa,Festival
bangarra,Bangarra,
batsheva,Batsheva,
Batsheva,Batsheva,
Beacon Dance Company,Beacon Dance Company,
Berkely ballet theater,Berkley Ballet Theater,?
berkley ballet,Berkley Ballet Theater,?
Bill T Jones,Bill T Jones,
Body Traffic,BodyTraffic,
bolshio,Bolshoi,
Bolshoi,Bolshoi,
Bolsoi,Bolshoi,
bugeisi dance theater,Buglisi,
Buglifsi,Buglisi,
Carolyn Dorfman Dance,Carolyn Dorfman Dance,
Carte Blanche,Carte Blanche,
Cedar Ballet,Cedar Lake,?
Cedar Lake,Cedar Lake,
cedar lake ballet,Cedar Lake,
Chase Brock,Chase Brock,
Chunky More,Chunky Move,?
city ballet,NYC Ballet,
City Ballet,NYC Ballet,
Colorado Ballet,Colorado Ballet,
company XIV,Company XIV,
complexions,Complexions,
Complexions,Complexions,
Contraband,Contraband,
Cuban National Ballet,Cuban National Ballet,
Dance Brazil,Dance Brazil,
Dance Theater of Harlem,Dance Theater of Harlem,
Dance X,DanceX,
daniel simian's intensio,Daniil Simkin Intensio,
Danish Dance,Danish Dance Theatre,?
Dash ensemble,Dash Ensemble,
Dorance,Dorrance,
dorfman,David Dorfman,
dorrance,Dorrance,
Dorrance,Dorrance,
Doug Varone,Doug Varone,
Douglas Dunn,Douglas Dunn,
DTH,Dance Theater of Harlem,
DTT,Dance Theater of Harlem,?
Dujan Tynek,Dusan Tynek,?
DV8,DV8,
e. feld,Eliot Feld,
Eiko and Koma,Eiko and Koma,
Entity,Entity,
Eugene OR Ballet,Eugene OR Ballet,
Evidence,Evidence,
Feld,Eliot Feld,
Flamenco,Flamenco,
Forsythe,Forsythe,
Fracesca Harper,Fracesca Harper,
Francheska Harper,Fracesca Harper,
